"FullName","Length","CreationTime","LastWriteTime"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-m..ner-desktop-tasksch_31bf3856ad364e35_10.0.26100.1_none_ae4546ce73ddf642.manifest","799","4/1/2024 2:21:39 AM","4/1/2024 2:21:39 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-m..nostic-client-tasks_31bf3856ad364e35_10.0.26100.1_none_b4e8f8bed2c40b11.manifest","1703","4/1/2024 2:21:52 AM","4/1/2024 2:21:52 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-m..nostic-client-tasks_31bf3856ad364e35_10.0.26100.5074_none_53e91dcd1a17caec.manifest","1855","9/11/2025 3:33:49 PM","9/11/2025 3:33:49 PM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-p..utontasks.resources_31bf3856ad364e35_10.0.26100.5074_en-us_99f4f6062a001dd2.manifest","269","9/11/2025 3:33:50 PM","9/11/2025 3:33:50 PM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-pluton-plutontasks_31bf3856ad364e35_10.0.26100.8328_none_3bbed603e064fdbe.manifest","997","5/6/2026 8:48:09 AM","5/6/2026 8:48:09 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-pluton-plutontasks_31bf3856ad364e35_10.0.26100.8521_none_3ba9d5a3e0748239.manifest","997","6/9/2026 8:30:48 PM","6/9/2026 8:30:48 PM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-reagent-client-tasks_31bf3856ad364e35_10.0.26100.1_none_e796281a32724206.manifest","803","4/1/2024 2:21:48 AM","4/1/2024 2:21:48 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-reagent-client-tasks_31bf3856ad364e35_10.0.26100.3037_none_869203dc79c9ef1a.manifest","806","3/2/2025 4:58:20 PM","3/2/2025 4:58:20 PM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-s..ngc-tasks.resources_31bf3856ad364e35_10.0.26100.1_en-us_6bad865e8289e498.manifest","258","4/1/2024 3:06:17 AM","4/1/2024 3:06:17 AM"
"C:\Windows\WinSxS\Manifests\amd64_microsoft-windows-sctasks.resources_31bf3856ad364e35_10.0.26100.1_en-us_200bcf34b16fd91c.manifest","283","4/1/2024 3:06:16 AM","4/1/2024 3:06:16 AM"
